## kliselesmis eklerin osmanlica yazilislari

dır | در 
dir | در 
dur | در 
dür | در 
tır | در 
tir | در 
tur | در 
tür | در 
tırıl | ديريل
tiril | ديريل
turul | ديريل
türül | ديريل

dırmak | ديرمق 
dirmek | ديرمك 
durmak | ديرمق 
dürmek | ديرمك 
tırmak | ديرمق 
tirmek | ديرمك 
turmak | ديرمق 
türmek | ديرمك 

cak | جق 
cık | جق 
cuk | جق 

cik | جك 
cük | جك 
cek | جك 

sız | سز 
siz | سز 
suz | سز 
süz | سز 

cağız | جغز 
ceğiz | جگز 

arak | ارق 
erek | ه رك
yarak | يارق 
yerek | يه رك 

ınca | نجه
ince | نجه
unca | نجه
ünce | نجه
yınca | ينجه
yince | ينجه
yunca | ينجه
yünce | ينجه

cağı | جغی
ceği | جكی
cuğu | جغی
cüğü | جكی
yacağı | ياجغی
yeceği | ياجكی
yucuğu | ياجغی
yücüğü | ياجكی

cağını | جغنی
ceğini | جكنی
cuğunu | جغنی
cüğünü | جكنی
yacağını | ياجغنی
yeceğini | ياجكنی
yucuğunu | ياجغنی
yücüğünü | ياجكنی

cığım | جغم
ciğim | جگم
cuğum | جغم
cüğüm | جگم

ğım | غم
ğim | غم
ğum | غم
ğüm | غم

ğın | غڭ
ğin | غڭ
ğun | غڭ
ğün | غڭ

lığı | لغی
liği | لغی
luğu | لغی
lüğü | لغی

lıyız | لی يز
liyiz | لی يز
luyuz | لی يز
lüyüz | لی يز

# soru ekleri - bunlar ayri yazilirlar, dolayisiyla buraya ait degildirler
mı | مي  
mi | مي
mu | مي 
mü | مي

# baglac eki - bu da ayri yazilir buraya ait degildir
ki | كه
daki | داكی 
deki | ده كی 

imki | مكى 
inki | ڭكى 
unki | ڭكى 
ınki | ڭكى 

# Kafi nun-i nin kullanildigi mulkiyet eklerinden "nin"
nin | نڭ 
nın | نڭ

de | ده
da | ده
te | ده
ta | ده

den | دن
dan | دن
ten | دن
tan | دن

inden | ندن
ından | ندن
undan | ندن
ünden | ندن

inde | نده
ında | نده
unda | نده
ünde | نده

nde | نده
nda | نده
nda | نده
nde | نده

sinde | سنده
sında | سنده
sunda | سنده
sünde | سنده

sinden | سندن
sından | سندن
sundan | سندن
sünden | سندن

leriyle | لريله
larıyla | لريله

iyle | يله
iyle | يله


ce | جه
ca | جه
çe | جه
ça | جه

lık | لق
lik | لك
luk | لق
lük | لك

cı | جی
ci | جی
cu | جی
cü | جی
çı | جی
çi | جی
çu | جی
çü | جی

cını | جنی
cini | جنی
cunu | جنی
cünü | جنی

lı | لی
li | لی
lu | لی
lü | لی

la | لا
le | له
laş | لاش
leş | لش
lan | لان
len | لن

mak | مق
mek | مك

mız | مز
miz | مز
muz | مز
müz | مز

nız | ڭز
niz | ڭز
nuz | ڭز
nüz | ڭز

ıp | وب
ip | وب
up | وب
üp | وب

an | ان 
en | ن  

#ış | ش
#iş | ش
uş | وش
üş | وش
#yış | يش
#yiş | يش
yuş | يوش
yüş | يوش

dığı | ديغی 
madığı | مديغی 
diği | ديگی 
mediği | مديگی 
duğu | ديغی 
düğü | ديگی 
tığı | ديغی 
tiği | ديگی 
tuğu | ديغی  
tüğü | ديگی 

# kod icerisinde check var. Kendinden once sesli harf varsa araya elif yada he gelir
medik | مدك
madık | مدق

dığını | ديغنی 
madığını | مديغنی 
diğini | ديگی 
mediğini | مديگی 
duğunu | ديغنی 
düğünü | ديگنی 
tığını | ديغنی 
tiğini | ديگنی 
tuğunu | ديغنی  
tüğünü | ديگنی 

dığ | ديغ 
madığ | مديغ 
diğ | ديگ
mediğ | مديگ
duğ | ديغ
düğ | ديگ
tığ | ديغ
