بابا+N	بابا
بابا+N+P3P	بابالرى
بابا+N+P3P+Loc	بابالرىنده
بابا+N+P3P+Abl	بابالرىندن
بابا+N+P3P+Dat	بابالرىنه
بابا+N+P3P+Gen	بابالرىنڭ
بابا+N+P3P+Acc	بابالرىسى
بابا+N+P3P+Inst	بابالرىيله
بابا+N+P2P	بابانڭز
بابا+N+P2P+Loc	بابانڭزده
بابا+N+P2P+Abl	بابانڭزدن
بابا+N+P2P+Inst	بابانڭزله
بابا+N+P2P+Dat	بابانڭزه
بابا+N+P2P+Gen	بابانڭزڭ
بابا+N+P2P+Acc	بابانڭزى
بابا+N+P1P	بابامز
بابا+N+P1P+Loc	بابامزده
بابا+N+P1P+Abl	بابامزدن
بابا+N+P1P+Inst	بابامزله
بابا+N+P1P+Dat	بابامزه
بابا+N+P1P+Gen	بابامزڭ
بابا+N+P1P+Acc	بابامزى
بابا+N+P3S	باباسى
بابا+N+P3S+Gen	باباسىنڭ
بابا+N+P3S+Acc	باباسىسى
بابا+N+P3S+Loc	باباسىده
بابا+N+P3S+Abl	باباسىدن
بابا+N+P3S+Inst	باباسىيله
بابا+N+P3S+Dat	باباسىيه
بابا+N+P2S	بابانڭ
بابا+N+P2S+Loc	بابانڭده
بابا+N+P2S+Abl	بابانڭدن
بابا+N+P2S+Inst	بابانڭله
بابا+N+P2S+Dat	بابانڭه
بابا+N+P2S+Gen	بابانڭڭ
بابا+N+P2S+Acc	بابانڭى
بابا+N+P1S	بابام
بابا+N+P1S+Loc	بابامده
بابا+N+P1S+Abl	بابامدن
بابا+N+P1S+Inst	بابامله
بابا+N+P1S+Dat	بابامه
بابا+N+P1S+Gen	بابامڭ
بابا+N+P1S+Acc	بابامى
بابا+N+Pl	بابالر
بابا+N+Pl+P3P	بابالرلرى
بابا+N+Pl+P3P+Loc	بابالرلرىنده
بابا+N+Pl+P3P+Abl	بابالرلرىندن
بابا+N+Pl+P3P+Dat	بابالرلرىنه
بابا+N+Pl+P3P+Gen	بابالرلرىنڭ
بابا+N+Pl+P3P+Acc	بابالرلرىسى
بابا+N+Pl+P3P+Inst	بابالرلرىيله
بابا+N+Pl+P2P	بابالريڭز
بابا+N+Pl+P2P+Loc	بابالريڭزده
بابا+N+Pl+P2P+Abl	بابالريڭزدن
بابا+N+Pl+P2P+Inst	بابالريڭزله
بابا+N+Pl+P2P+Dat	بابالريڭزه
بابا+N+Pl+P2P+Gen	بابالريڭزڭ
بابا+N+Pl+P2P+Acc	بابالريڭزى
بابا+N+Pl+P1P	بابالريمز
بابا+N+Pl+P1P+Loc	بابالريمزده
بابا+N+Pl+P1P+Abl	بابالريمزدن
بابا+N+Pl+P1P+Inst	بابالريمزله
بابا+N+Pl+P1P+Dat	بابالريمزه
بابا+N+Pl+P1P+Gen	بابالريمزڭ
بابا+N+Pl+P1P+Acc	بابالريمزى
بابا+N+Pl+P3S	بابالرى
بابا+N+Pl+P3S+Loc	بابالرىنده
بابا+N+Pl+P3S+Abl	بابالرىندن
بابا+N+Pl+P3S+Dat	بابالرىنه
بابا+N+Pl+P3S+Gen	بابالرىنڭ
بابا+N+Pl+P3S+Acc	بابالرىسى
بابا+N+Pl+P3S+Inst	بابالرىيله
