قال+Negative+Continuous+P1S	قالمييورم
قال+Negative+Continuous+P1P	قالمييورز
قال+Negative+Continuous+P3P	قالمييور
قال+Negative+Continuous+P3P	قالمييورلر
قال+Negative+Continuous+P2P	قالمييورسڭز
قال+Negative+Continuous+P2S	قالمييورسڭ
قال+Negative+Continuous+P3S	قالمييور
قال+Negative+Aorist+P3P	قالماز
قال+Negative+Aorist+P3P	قالمازلر
قال+Negative+Aorist+P2P	قالمازسڭز
قال+Negative+Aorist+P2S	قالمازسڭ
قال+Negative+Aorist+P3S	قالماز
قال+Negative+Aorist+P1P	قالمايز
قال+Negative+Aorist+P1S	قالمام
قال+Positive+Continuous+P1S	قالييورم
قال+Positive+Continuous+P1P	قالييورز
قال+Positive+Continuous+P3P	قالييور
قال+Positive+Continuous+P3P	قالييورلر
قال+Positive+Continuous+P2P	قالييورسڭز
قال+Positive+Continuous+P2S	قالييورسڭ
قال+Positive+Continuous+P3S	قالييور
قال+Positive+Aorist+P1S	قالرم
قال+Positive+Aorist+P1P	قالرز
قال+Positive+Aorist+P3P	قالر
قال+Positive+Aorist+P3P	قالرلر
قال+Positive+Aorist+P2P	قالرسڭز
قال+Positive+Aorist+P2S	قالرسڭ
قال+Positive+Aorist+P3S	قالر
قوش+Negative+Continuous+P1S	قوشمييورم
قوش+Negative+Continuous+P1P	قوشمييورز
قوش+Negative+Continuous+P3P	قوشمييور
قوش+Negative+Continuous+P3P	قوشمييورلر
قوش+Negative+Continuous+P2P	قوشمييورسڭز
قوش+Negative+Continuous+P2S	قوشمييورسڭ
قوش+Negative+Continuous+P3S	قوشمييور
قوش+Negative+Aorist+P3P	قوشماز
قوش+Negative+Aorist+P3P	قوشمازلر
قوش+Negative+Aorist+P2P	قوشمازسڭز
قوش+Negative+Aorist+P2S	قوشمازسڭ
قوش+Negative+Aorist+P3S	قوشماز
قوش+Negative+Aorist+P1P	قوشمايز
قوش+Negative+Aorist+P1S	قوشمام
قوش+Positive+Continuous+P1S	قوشويورم
قوش+Positive+Continuous+P1P	قوشويورز
قوش+Positive+Continuous+P3P	قوشويور
قوش+Positive+Continuous+P3P	قوشويورلر
قوش+Positive+Continuous+P2P	قوشويورسڭز
قوش+Positive+Continuous+P2S	قوشويورسڭ
قوش+Positive+Continuous+P3S	قوشويور
قوش+Positive+Aorist+P1S	قوشورم
قوش+Positive+Aorist+P1P	قوشورز
قوش+Positive+Aorist+P3P	قوشور
قوش+Positive+Aorist+P3P	قوشورلر
قوش+Positive+Aorist+P2P	قوشورسڭز
قوش+Positive+Aorist+P2S	قوشورسڭ
قوش+Positive+Aorist+P3S	قوشور
اوقو+Negative+Continuous+P1S	اوقومييورم
اوقو+Negative+Continuous+P1P	اوقومييورز
اوقو+Negative+Continuous+P3P	اوقومييور
اوقو+Negative+Continuous+P3P	اوقومييورلر
اوقو+Negative+Continuous+P2P	اوقومييورسڭز
اوقو+Negative+Continuous+P2S	اوقومييورسڭ
اوقو+Negative+Continuous+P3S	اوقومييور
اوقو+Negative+Aorist+P3P	اوقوماز
اوقو+Negative+Aorist+P3P	اوقومازلر
اوقو+Negative+Aorist+P2P	اوقومازسڭز
اوقو+Negative+Aorist+P2S	اوقومازسڭ
اوقو+Negative+Aorist+P3S	اوقوماز
اوقو+Negative+Aorist+P1P	اوقومايز
اوقو+Negative+Aorist+P1S	اوقومام
اوقو+Positive+Continuous+P1S	اوقوويورم
اوقو+Positive+Continuous+P1P	اوقوويورز
اوقو+Positive+Continuous+P3P	اوقوويور
اوقو+Positive+Continuous+P3P	اوقوويورلر
اوقو+Positive+Continuous+P2P	اوقوويورسڭز
اوقو+Positive+Continuous+P2S	اوقوويورسڭ
اوقو+Positive+Continuous+P3S	اوقوويور
اوقو+Positive+Aorist+P1S	اوقوورم
اوقو+Positive+Aorist+P1P	اوقوورز
اوقو+Positive+Aorist+P3P	اوقوور
اوقو+Positive+Aorist+P3P	اوقوورلر
اوقو+Positive+Aorist+P2P	اوقوورسڭز
اوقو+Positive+Aorist+P2S	اوقوورسڭ
اوقو+Positive+Aorist+P3S	اوقوور
اويو+Negative+Continuous+P1S	اويومييورم
اويو+Negative+Continuous+P1P	اويومييورز
اويو+Negative+Continuous+P3P	اويومييور
اويو+Negative+Continuous+P3P	اويومييورلر
اويو+Negative+Continuous+P2P	اويومييورسڭز
اويو+Negative+Continuous+P2S	اويومييورسڭ
اويو+Negative+Continuous+P3S	اويومييور
اويو+Negative+Aorist+P3P	اويوماز
اويو+Negative+Aorist+P3P	اويومازلر
اويو+Negative+Aorist+P2P	اويومازسڭز
اويو+Negative+Aorist+P2S	اويومازسڭ
اويو+Negative+Aorist+P3S	اويوماز
اويو+Negative+Aorist+P1P	اويومايز
اويو+Negative+Aorist+P1S	اويومام
اويو+Positive+Continuous+P1S	اويوويورم
اويو+Positive+Continuous+P1P	اويوويورز
اويو+Positive+Continuous+P3P	اويوويور
اويو+Positive+Continuous+P3P	اويوويورلر
اويو+Positive+Continuous+P2P	اويوويورسڭز
اويو+Positive+Continuous+P2S	اويوويورسڭ
اويو+Positive+Continuous+P3S	اويوويور
اويو+Positive+Aorist+P1S	اويوورم
اويو+Positive+Aorist+P1P	اويوورز
اويو+Positive+Aorist+P3P	اويوور
اويو+Positive+Aorist+P3P	اويوورلر
اويو+Positive+Aorist+P2P	اويوورسڭز
اويو+Positive+Aorist+P2S	اويوورسڭ
اويو+Positive+Aorist+P3S	اويوور
آل+Negative+Continuous+P1S	آلمييورم
آل+Negative+Continuous+P1P	آلمييورز
آل+Negative+Continuous+P3P	آلمييور
آل+Negative+Continuous+P3P	آلمييورلر
آل+Negative+Continuous+P2P	آلمييورسڭز
آل+Negative+Continuous+P2S	آلمييورسڭ
آل+Negative+Continuous+P3S	آلمييور
آل+Negative+Aorist+P3P	آلماز
آل+Negative+Aorist+P3P	آلمازلر
آل+Negative+Aorist+P2P	آلمازسڭز
آل+Negative+Aorist+P2S	آلمازسڭ
آل+Negative+Aorist+P3S	آلماز
آل+Negative+Aorist+P1P	آلمايز
آل+Negative+Aorist+P1S	آلمام
آل+Positive+Continuous+P1S	آلييورم
آل+Positive+Continuous+P1P	آلييورز
آل+Positive+Continuous+P3P	آلييور
آل+Positive+Continuous+P3P	آلييورلر
آل+Positive+Continuous+P2P	آلييورسڭز
آل+Positive+Continuous+P2S	آلييورسڭ
آل+Positive+Continuous+P3S	آلييور
آل+Positive+Aorist+P1S	آلرم
آل+Positive+Aorist+P1P	آلرز
آل+Positive+Aorist+P3P	آلر
آل+Positive+Aorist+P3P	آلرلر
آل+Positive+Aorist+P2P	آلرسڭز
آل+Positive+Aorist+P2S	آلرسڭ
آل+Positive+Aorist+P3S	آلر
سو+Negative+Continuous+P1S	سومييورم
سو+Negative+Continuous+P1P	سومييورز
سو+Negative+Continuous+P3P	سومييور
سو+Negative+Continuous+P3P	سومييورلر
سو+Negative+Continuous+P2P	سومييورسڭز
سو+Negative+Continuous+P2S	سومييورسڭ
سو+Negative+Continuous+P3S	سومييور
سو+Negative+Aorist+P3P	سومز
سو+Negative+Aorist+P3P	سومزلر
سو+Negative+Aorist+P2P	سومزسڭز
سو+Negative+Aorist+P2S	سومزسڭ
سو+Negative+Aorist+P3S	سومز
سو+Negative+Aorist+P1P	سوميز
سو+Negative+Aorist+P1S	سومم
سو+Positive+Continuous+P1S	سوييورم
